id;nama;jabatan;departemen;gaji
1;that toward;unique fooey following;atop;6488.39
2;wherever;knowingly;opposite above;4377.97
3;quirkily reassuringly;refer feminize contrast;nimble lazily;21874.13
4;indeed inasmuch for;graft far reiterate;although;13238.11
5;narrate though frankly;circular vivaciously solicit;heavily psst;26115.73
6;until unimpressively below;majestically;quixotic unrealistic outset;9552.23
7;video vivaciously;once;or uncommon dilate;18047.35
8;importance psst famously;monthly underneath;geez since;30046.02
9;ack offensively;enormously;shameful glaring provided;8319.15
10;that energetic;coexist;swat aha weird;17049.38
11;colonialism;toward flash;wetly er bah;3449.14
12;distinction longingly second;energetically;whose woot;22247.19
13;egg whenever nicely;crocodile er uselessly;rationalize recede;16971.37
14;where before;creak;now procurement;29101.24
15;fuss defensive helpfully;embossing however forenenst;cannibalise reference joyously;3494.94
16;embarrassment rebuke incidentally;snuggle aside;aboard;705.21
17;essence spice;that continually coil;duh;31237.32
18;that hm necklace;within;along;26792.13
19;down brr while;wasabi impolite;besides far linear;16413.14
20;provided biodegrade availability;geez;midst oh;8098.71
21;fortunately atrium;coolly;subexpression bony frantically;27494.27
22;fondly nutritious;gleefully;airline as;13045.97
23;above slip briskly;overspend clearly splendid;roughly consequently;18506.15
24;phooey urgently;freely supposing phew;boo duh so;27665.63
25;since;ew ick;scornful oh forenenst;3106.04
26;circle into;duh festival;pivot;24339.81
27;than spectate monthly;sheathe permafrost;fooey tectonics ew;4960.72
28;hunt;excepting tankful;since likewise;30545.05
29;incidentally;easy bah always;till;3039.83
30;beneath;questionably;elver;28320.78
